title,description,keywords,url
A Better Brain? Enhancement Examined,Talk given by Dr Pete Moore as part of summer course 3,brain; enhancement; examined; faraday; moore; religion; science,https://sms.cam.ac.uk/media/1211266
A Biblical Perspective on the Natural World,Talk given by Revd Christpher Ash at the Disasters Faith and Resilience Course,ash; bible; disasters; faith; faraday institute; natural disasters; world,https://sms.cam.ac.uk/media/2731752
A Critique of Multiverses,Research seminar given by Prof. George Ellis,astrophysics; cosmology; critique; ellis; faraday; multiverse; physics; religion; science,https://sms.cam.ac.uk/media/2715322
A Critique of Multiverse Theories,Lecture given by Prof. George Ellis as part of the Lemaitre Conference on 9 April,critique; ellis; faraday; george; lemaitre; multiverse; religion; science; theories,https://sms.cam.ac.uk/media/1139768
A Destiny Beyond Death,Research Seminar given by Revd Dr John Polkinghorne on 29th November 2011,death; destiny; faraday; polkinghorne; religion; science; seminar,https://sms.cam.ac.uk/media/1191647
A Good Death in a Changing Religious Landscape,"Talk given by Nav Siddiqi as part of the joint Faraday Institute and Woolf Institute day conference ""Extending life at any cost?""",death; dying; faraday institute; muslim; religion; science; siddiqi; woolf institute,https://sms.cam.ac.uk/media/2675353
A History of Cosmologies and their Religious Contexts,Research Seminar given by Dr Simon Mitton,cosmology; faraday; history; mitton; religion; religious; science,https://sms.cam.ac.uk/media/1268637
A life in science,Research seminar given by Sir Brian Heap,faith; faraday; heap; life; religion; science; work,https://sms.cam.ac.uk/media/2715365
A Moral Climate? Theological Perspectives on Climate Change,Research Seminar given by Dr Michael Northcott,climate; climate change; faraday; global warming; moral; northcott; religion; science; theological; theology,https://sms.cam.ac.uk/media/1296613
A Mutuality Model for Science and Religion,Talk given by Prof. Alan Padgett as part of summer course 2,faraday; model; mutual; mutuality; padgett; religion; science,https://sms.cam.ac.uk/media/1252324
An Agnostic's Perspective on the Philosophy of Science and Religion,"Talk given by Dr Mark Vernon as part of the Science, Religion and Atheism Course",agnostic; atheism; faraday; philosophy; religion; science; vernon,https://sms.cam.ac.uk/media/1238326
And Information has become Physical,Talk given by Prof. Andrew Briggs as part of short course 6,briggs; faraday; god; information; physical; physics; religion; science,https://sms.cam.ac.uk/media/1256934
"An Eastern Perspective on Science, Religion and Evil",Talk given by Dr Subrata Chattopadhyay as part of summer course 1,chattopadhyay; eastern; evil; faraday; perspective; religion; science; subrata,https://sms.cam.ac.uk/media/1274405
Animal Behaviour and Human Morality in Historical Perspective,Research Seminar given by Prof. Nicolaas Rupke,animal; behaviour; faraday; historical; history; human; morality; religion; rupke; science,https://sms.cam.ac.uk/media/1219291
"Animal Rights, Human Responsibilities",Faraday Institute Research Seminar given by Dr David Williams on 22nd February 2011,animal; david; faraday; human; religion; research; responsibility; rights; science; seminar; williams,https://sms.cam.ac.uk/media/1101870
